@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

310590,242,3043,247.99.16,65794,16709246,16185336,942842,9017005,Bart
286225,253,2652,247.99.16,65794,16775037,943866,8360635,16185081,Bart
246945,250,1866,247.99.16,65794,1006844,16054781,4871781,9155047,Bart
201960,248,1371,247.99.16,1005565,9811173,6514286,16316925,65794,Bart
227745,253,1647,255.0.0,1131520,9345469,327680,16120060,263173,Bart
130020,249,1505,247.99.16,1131520,65794,15266038,16643455,1678059,Bart
142800,250,1732,0.8.132,65794,8166588,15724788,610816,16697218,Bart
189958,249,2028,247.99.16,197380,13608767,16184243,1206523,7696754,Bart
101122,210,1284,0.8.132,11103791,211712,11579844,65794,16447995,Bart
221000,250,1732,255.0.0,65794,16756326,1197312,9212799,15461612,Bart
74500,256,819,0.66.132,65794,8492731,610560,15461873,16565120,Bart
141034,247,1106,247.99.16,16577664,1072636,65794,15198964,4606287,Bart
84420,248,922,247.99.16,5684983,16185324,65794,1071101,8027007,Bart
138012,245,1194,247.99.16,65794,10008524,2990120,1008379,16513212,Bart
151197,253,1254,0.8.132,7427896,14870514,6191045,14065760,65794,Bart
158340,254,1382,247.99.16,16775295,1072380,65794,8496841,14806765,Bart
113904,251,1430,247.99.16,16775295,8886716,15660024,65794,1008891,Bart
218008,247,1717,247.99.16,1073915,65794,13419426,5132615,16185338,Bart
153900,250,1823,247.99.16,7973870,65794,5726559,15199214,1068287,Bart
123500,246,1158,247.99.16,1131520,16643454,65794,1219822,15462133,Bart
115420,245,1068,255.0.0,65794,11977960,1131520,16580095,5746897,Bart
57950,247,956,0.8.132,811495,16711313,8165300,65794,14804968,Bart
