@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

310590,242,3043,247.99.16,65794,942842,9148848,16250873,16709246,Bart
286225,253,2652,247.99.16,65794,943866,5855336,11123161,16644535,Bart
246945,250,1866,247.99.16,65794,1006844,7246282,12244209,16317438,Bart
201960,248,1371,247.99.16,65794,1005565,6514286,9811173,16316925,Bart
227745,253,1647,255.0.0,263173,327680,1131520,9345469,16120060,Bart
130020,249,1505,247.99.16,65794,1072892,9152197,15923451,16775039,Bart
142800,250,1732,0.8.132,65794,610816,8166588,15724788,16697218,Bart
189958,249,2028,247.99.16,262916,1206523,10260077,15593975,16775038,Bart
101122,210,1284,0.8.132,65794,211712,11103791,11711171,16448252,Bart
221000,250,1732,255.0.0,65794,1197312,9212799,15527148,16756326,Bart
74500,256,819,0.66.132,65794,610560,8492731,15461873,16565120,Bart
141034,247,1106,247.99.16,65794,1072636,4606287,15198964,16577664,Bart
84420,248,922,247.99.16,65794,1071101,6991832,16185596,16775040,Bart
138012,245,1194,247.99.16,65794,1008379,2990120,10008524,16513212,Bart
151197,253,1254,0.8.132,65794,5862342,11110494,11189468,16053753,Bart
158340,254,1382,247.99.16,65794,1131520,1612522,14149610,16775039,Bart
113904,251,1430,247.99.16,65794,1008891,8886716,15660024,16775295,Bart
218008,247,1717,247.99.16,197636,1007867,7191033,13221012,16316665,Bart
153900,250,1823,247.99.16,65794,1134335,4937557,12369061,13688314,Bart
123500,246,1158,247.99.16,65794,630513,1197056,9742035,16644007,Bart
115420,245,1068,255.0.0,65794,1131520,5746897,11977960,16580095,Bart
57950,247,956,0.8.132,65794,811495,7968177,14804968,16711313,Bart
155775,251,2837,247.99.16,66051,675800,1384500,8950176,15133162,Bart
172000,241,1346,247.99.16,65794,477144,7384551,7499372,15199223,Bart
132000,251,3848,0.8.132,65794,1262848,5723737,10988215,15658732,Bart
112880,253,6613,0.8.132,65795,1270011,6658244,12176617,16186110,Bart
99360,253,2119,0.8.132,65794,736512,3750463,12498620,16051179,Bart
186162,254,3223,0.8.132,65794,1147090,9554394,11373125,16317694,Bart
119040,255,1725,0.8.132,65794,730044,6053472,7380962,16382717,Bart
165501,252,3158,247.99.16,65794,1140210,14869222,16597758,16645468,Bart
64539,254,1025,247.99.16,65794,148446,6517904,11516351,14936298,Bart
74538,252,852,247.99.16,65794,1133054,5330525,8169402,15396848,Bart
79572,251,1370,247.99.16,131587,1131520,1154029,13884897,16777054,Bart
62721,247,678,247.99.16,131587,1067519,7372969,12502220,16054006,Bart
86670,249,808,247.99.16,131843,1983230,4492770,11521419,15067889,Bart
153230,256,12867,0.8.132,131588,2864630,6835508,8488337,15000540,Homer
143028,254,2427,0.8.132,131587,3232693,10798036,13689324,15990013,Homer
127100,255,2405,0.107.173,657675,1984735,3472635,13277048,14938869,Homer
165960,252,838,0.8.132,65794,134777,5134771,11843555,15659513,Homer
215250,252,1831,255.0.0,65794,1329151,4806518,11320248,14869981,Homer
150900,254,1743,0.8.132,65794,2533094,9460552,10144206,15594741,Homer
140700,255,1962,0.8.132,65794,80384,6385293,6784751,12703472,Homer
87542,247,0,0.8.132,993418,3866587,8178619,14936545,16568742,Homer
77165,251,1228,189.173.107,65794,1655807,4806544,11448766,16382715,Homer
89979,236,822,189.173.107,65794,4870264,4881402,11712712,16251132,Homer
195349,256,1293,189.173.107,854020,2052838,9412275,14578936,15724787,Homer
304440,250,3851,189.173.107,1131520,1180433,4480136,14672108,16684373,Homer
