@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

162022,251,2017,247.99.16,15658117,15528437,2926121,1075450,65794,Bart
258015,256,0,0.8.132,15134710,131587,16775294,7960954,1075449,Bart
124800,246,1562,247.99.16,16775039,14345454,5071223,1075708,65794,Bart
117990,119,1006,247.99.16,7039852,1005309,10008559,65794,16448511,Bart
234702,254,3738,0.8.132,13676918,4801080,65794,1796852,15198181,Bart
183261,226,2002,0.8.132,15790071,1467891,16577663,16727552,65794,Bart
98690,246,1135,0.8.132,16759899,1005820,7037388,459523,15395562,Bart
242537,250,2983,247.99.16,10910421,1007611,16709247,15724788,65794,Bart
181896,256,0,247.99.16,263173,15593209,3099641,696049,16314753,Bart
190773,254,0,0.8.132,131587,10206694,2652918,16711153,6711402,Bart
179096,253,0,0.8.132,12019601,16185338,827120,1197312,131587,Bart
78975,246,1349,247.99.16,1008634,131587,8885944,16775039,16053751,Bart
228690,243,2263,247.99.16,65794,1131520,695793,11172322,16315843,Bart
126040,253,2405,0.8.132,761329,131586,9281215,1197056,16447152,Bart
195288,252,0,0.8.132,131587,16053189,5595277,706039,1263104,Bart
245376,254,0,0.8.132,8224079,9877504,131587,15527394,1138172,Bart
246132,251,0,0.8.132,945913,12306903,16251130,7703979,1182986,Bart
265132,256,0,0.8.132,12578287,8160664,131587,1373895,1197312,Bart
274224,254,0,0.8.132,5264222,10134953,1218025,15857136,131587,Bart
83183,251,0,0.8.132,1262848,131587,10978014,15922166,5658201,Bart
231770,256,0,247.99.16,16735309,1140474,15856889,131587,3040845,Bart
216810,256,0,0.8.132,8388166,131587,15988985,9017811,1197312,Bart
179470,172,1861,247.99.16,15724792,3642069,1131520,263173,16709247,Bart
223440,183,1513,247.99.16,15723149,15922941,394762,1074427,7566456,Bart
230256,245,3890,0.156.222,1278960,7237231,16737830,65794,15986391,Bart
207390,171,3152,247.99.16,65794,1103834,9482174,1197056,16186366,Bart
134835,246,1510,247.99.16,8953544,16054009,65794,16775038,1006588,Bart
219992,85,2646,255.0.0,11261411,1156835,16645888,65794,7303024,Bart
222400,256,0,247.99.16,13719517,1029351,1065216,15857405,131587,Bart
233022,255,0,0.8.132,131587,16738087,15593413,1936125,4286781,Bart
171369,255,0,0.8.132,1329663,15620965,15220201,131844,15396343,Bart
184758,157,9902,247.99.16,15791609,16314752,1073658,4717312,131587,Bart
244541,250,3301,247.99.16,14717281,1140986,65794,15068402,16775038,Bart
265720,240,3386,0.8.132,16249338,131587,16775038,1394943,14894821,Bart
200592,250,1236,189.173.107,13070245,66307,2829765,15659771,327680,Bart
256122,220,2576,0.8.132,11173866,14873808,8551286,65794,1071357,Bart
107004,249,1430,0.8.132,15133938,7895679,65794,16777090,1402362,Bart
151792,233,1661,0.8.132,2054648,16316110,2091006,590594,10069451,Bart
309515,255,58476,247.99.16,16446083,15857401,1136126,131331,5396556,Bart
210124,247,1755,247.99.16,65794,15462651,8026740,892401,1131520,Bart
238143,245,2078,0.8.132,65794,1262848,14605716,1551863,6842213,Bart
114257,244,1105,247.99.16,197383,10207724,1864440,16448217,6908532,Bart
119000,248,1288,247.99.16,6709089,16644798,65794,10862055,1008635,Bart
63893,252,929,247.99.16,1073659,11257325,7041650,65794,16710603,Bart
104351,255,1504,247.99.16,14213611,10973017,1131520,131845,1023473,Bart
118360,228,1108,0.8.132,15000291,65794,1661690,8737181,16775037,Bart
128640,246,2330,0.8.132,7495512,65794,1328640,14934996,1310208,Bart
108704,248,1677,0.8.132,483833,65794,7105651,15260402,15790157,Bart
54000,251,788,0.8.132,16563049,7037290,409344,65794,13694199,Bart
103360,225,1016,247.99.16,418041,7769765,16577409,921103,13560046,Bart
65583,256,2175,0.8.132,7759966,13490657,131587,869374,16777032,Bart
56700,238,740,247.99.16,16314759,14281711,483066,131587,6052449,Bart
45220,253,5610,0.8.132,11383773,263178,4093865,15199990,737278,Bart
44800,251,9949,0.8.132,131588,10333645,219130,7691324,15331316,Bart
32548,247,7668,0.8.132,343808,6250595,12107457,16382971,263174,Bart
76041,249,18335,0.8.132,8222580,10670300,131588,1411270,15989242,Bart
145770,240,1088,247.99.16,942587,65794,6534624,16383231,14867612,Bart
73543,251,1008,247.99.16,14936815,10844886,131586,741630,16710788,Bart
121976,253,1256,0.8.132,802280,14673908,8228805,1441536,65794,Bart
84048,249,1203,0.8.132,9941760,13416356,65794,16113647,6974306,Bart
59148,245,1092,0.8.132,738559,8756153,12899423,131587,15594224,Bart
65192,248,1940,247.99.16,7370105,65794,1612022,14739411,16598783,Bart
122464,246,1256,247.99.16,131588,1270263,13224918,16663551,16711236,Bart
61776,249,1818,247.99.16,16400892,6581888,2061054,13949621,65794,Bart
86664,250,1317,247.99.16,16598270,65794,15922111,1074170,9679048,Bart
40500,251,685,0.8.132,131587,7902132,417013,16711423,16711268,Bart
270720,244,3554,247.99.16,1131520,630768,16512948,65794,9148082,Bart
64524,252,763,247.99.16,1088753,65794,1197312,7236727,14801887,Bart
62320,255,1302,247.99.16,14410218,65794,5858134,1141497,16776772,Bart
93225,250,1619,247.99.16,395022,4606812,1200635,9674416,14278369,Bart
136708,255,1391,247.99.16,65794,16381870,1197056,8887218,695792,Bart
89768,252,1278,0.156.222,65794,16728832,14969643,1394431,15326435,Bart
40424,247,419,247.99.16,65794,3691655,9608889,15196643,1134590,Bart
44173,248,721,247.99.16,131587,8888505,16483837,1072890,16185850,Bart
57318,251,1397,255.0.0,1309436,12634060,131587,1197311,7107461,Bart
