@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

162022,251,2017,247.99.16,65794,1075450,2926121,15528437,15658117,Bart
258015,256,0,0.8.132,131587,1007353,5750224,15660022,16775294,Bart
124800,246,1562,247.99.16,65794,1075708,5071223,14345454,16775039,Bart
117990,119,1006,247.99.16,65794,892401,1131520,7697782,15791100,Bart
234702,254,3738,0.8.132,197123,1262847,3656153,13216884,15460581,Bart
183261,226,2002,0.8.132,65794,1262848,1439945,16185079,16424124,Bart
98690,246,1135,0.8.132,65795,1529338,8359086,14110744,16249268,Bart
242537,250,2983,247.99.16,65794,1007611,10910421,15724788,16709247,Bart
181896,256,0,247.99.16,197380,1073148,7883686,14009587,16775296,Bart
190773,254,0,0.8.132,131587,1197312,3709424,8685196,16579825,Bart
179096,253,0,0.8.132,131587,946425,11886476,12562124,16579837,Bart
78975,246,1349,247.99.16,131587,1008634,8885944,16053751,16775039,Bart
228690,243,2263,247.99.16,65794,1007100,11172322,15987960,16775038,Bart
126040,253,2405,0.8.132,65794,1070845,8886970,15922678,16775039,Bart
195288,252,0,0.8.132,131587,393216,1860328,15659766,15985796,Bart
245376,254,0,0.8.132,1138172,2631706,9877504,14211260,16054011,Bart
246132,251,0,0.8.132,761072,1182986,1197312,9413307,15856373,Bart
265132,256,0,0.8.132,131587,1263103,1308359,9821406,16316923,Bart
274224,254,0,0.8.132,131587,1202941,1438666,8619147,15594223,Bart
83183,251,0,0.8.132,131587,1262848,10648539,13355991,16382459,Bart
231770,256,0,247.99.16,132100,1156588,1197312,15988218,16211537,Bart
216810,256,0,0.8.132,131587,1197312,8388166,9017554,15988729,Bart
179470,172,1861,247.99.16,263173,1073404,9470623,15856634,16775294,Bart
223440,183,1513,247.99.16,460554,1008635,9082026,16185597,16775294,Bart
230256,245,3890,0.156.222,65794,1278703,14731405,15922421,16737572,Bart
207390,171,3152,247.99.16,65794,1086444,6908266,8773086,16317438,Bart
134835,246,1510,247.99.16,131587,1131520,1285101,15396598,16709247,Bart
219992,85,2646,255.0.0,65794,1156835,7303024,11261411,16645888,Bart
222400,256,0,247.99.16,131587,1029351,1065216,13719517,15857405,Bart
233022,255,0,0.8.132,131843,1870333,12480844,14871796,16774784,Bart
171369,255,0,0.8.132,131844,1329663,14184257,15396343,15614158,Bart
184758,157,9902,247.99.16,131587,1073658,4717312,15791609,16314752,Bart
244541,250,3301,247.99.16,65794,1075451,8358823,15462643,16767601,Bart
265720,240,3386,0.8.132,131587,1131008,6854865,15353067,16709550,Bart
200592,250,1236,189.173.107,66307,327680,2829765,13526683,15330809,Bart
256122,220,2576,0.8.132,65794,1071357,8551286,11173866,14873808,Bart
107004,249,1430,0.8.132,65794,1336826,8755122,15659508,16777090,Bart
151792,233,1661,0.8.132,590594,1989880,9479113,15988475,16774510,Bart
309515,255,58476,247.99.16,131331,1070078,5199176,9747929,16579545,Bart
210124,247,1755,247.99.16,65794,1006332,6842466,9877228,16317181,Bart
238143,245,2078,0.8.132,131587,1262848,1617142,14212727,15194068,Bart
114257,244,1105,247.99.16,197383,1996024,7830405,15266555,16643203,Bart
119000,248,1288,247.99.16,65794,1088751,1131520,15725561,16248705,Bart
63893,252,929,247.99.16,65794,1131520,1351154,7699579,16316366,Bart
104351,255,1504,247.99.16,197638,1071868,11185847,13359337,16645631,Bart
118360,228,1108,0.8.132,65794,1661690,8737181,15000291,16775037,Bart
128640,246,2330,0.8.132,65794,1329152,6117725,14606566,16637553,Bart
108704,248,1677,0.8.132,131587,1073644,14071780,15790157,15923707,Bart
54000,251,788,0.8.132,65794,409344,3158322,7300205,14411734,Bart
103360,225,1016,247.99.16,483577,921103,7106164,10011867,15856830,Bart
65583,256,2175,0.8.132,131587,869374,7759966,13490657,16777032,Bart
56700,238,740,247.99.16,146432,394759,1744362,14741489,15985799,Bart
45220,253,5610,0.8.132,263178,1467109,6251895,10990047,15134454,Bart
44800,251,9949,0.8.132,146176,197125,762858,8086342,14279148,Bart
32548,247,7668,0.8.132,263174,475135,6250595,12435905,16448508,Bart
76041,249,18335,0.8.132,131588,1411270,8222580,10670300,15989242,Bart
145770,240,1088,247.99.16,65794,1008635,6250861,12506573,16580351,Bart
73543,251,1008,247.99.16,65794,741630,8486263,11303913,15922368,Bart
121976,253,1256,0.8.132,65794,802280,4803927,8233434,14805493,Bart
84048,249,1203,0.8.132,65794,7105635,10007038,15789816,15911888,Bart
59148,245,1092,0.8.132,65795,804351,6923891,14210660,15134195,Bart
