@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

310590,242,3043,247.99.16,65794,942842,9017005,16185336,16709246,184073,10500,0,32838,200,0,0,Bart
286225,253,2652,247.99.16,65794,943866,8360635,16185081,16775037,170753,9879,356,32076,87,0,0,Bart
246945,250,1866,247.99.16,65794,1006844,5859190,9352684,16054781,149938,10458,0,22018,0,0,0,Bart
201960,248,1371,247.99.16,65794,1005565,6514286,9811173,16316925,110699,5730,447,17160,0,0,0,Bart
227745,253,1647,255.0.0,197637,327680,1131520,8687285,15988475,105279,10531,3374,0,0,0,3,Bart
130020,249,1505,247.99.16,65794,1072892,9151939,15923451,16775039,82250,4345,0,8445,0,0,4,Bart
142800,250,1732,0.189.0,65794,610816,8166588,15724788,16697218,95218,3365,0,356,2244,0,0,Bart
189958,249,2028,247.99.16,262916,1206523,10325613,15593975,16775038,98819,7522,100,18546,93,0,0,Bart
101122,210,1284,0.189.0,65794,211712,11103791,11579844,16447995,59837,4830,0,0,0,0,0,Bart
221000,250,1732,255.0.0,65794,1131520,8041978,14198126,15789547,110376,6399,110,0,522,0,0,Bart
74500,256,819,0.66.132,65794,610560,8492731,15461873,16565120,51599,1335,0,169,5178,0,0,Bart
141034,247,1106,247.99.16,328966,1007100,7504558,15725303,16775039,70685,4450,0,13853,126,0,607,Bart
84420,248,922,247.99.16,65794,1071101,6992091,16185596,16775040,48556,4905,372,5789,14,0,0,Bart
138012,245,1194,247.99.16,65794,1074171,3579440,15331062,16184192,85683,4078,0,12446,45,0,0,Bart
151197,253,1254,0.189.0,65794,6191045,7427639,14065760,14870514,49539,10271,0,0,0,0,0,Bart
158340,254,1382,247.99.16,65794,1072380,8496841,14806765,16775295,104577,1289,0,8423,0,0,0,Bart
113904,251,1430,247.99.16,65794,1131520,1154030,15133941,16511872,64186,3171,0,12368,0,0,0,Bart
218008,247,1717,247.99.16,65794,1073915,5132615,13419424,16119545,123912,11014,310,21259,0,0,0,Bart
153900,250,1823,247.99.16,66051,696561,1131520,8031171,14608110,71272,1761,219,7828,0,0,0,Bart
123500,246,1158,247.99.16,65794,1073915,7566202,15330806,16775037,64569,4316,144,12314,69,0,0,Bart
115420,245,1068,255.0.0,65794,1131520,4935251,7190748,16317182,54219,8644,392,0,0,0,5,Bart
57950,247,956,0.189.0,65794,933084,1289204,1569280,15002057,35000,951,0,4476,15,0,0,Bart
155775,251,2837,247.99.16,66051,675800,1384500,8950176,15133162,77064,3981,0,5438,0,0,0,Bart
172000,241,1346,247.99.16,65794,477144,7384551,7499372,15199223,98723,2897,224,10612,0,0,0,Bart
132000,251,3848,0.189.0,65794,1262848,5723737,10988215,15658732,107263,2965,0,0,0,0,0,Bart
112880,253,6613,0.189.0,65795,1270011,6580849,8631783,15857404,60603,4682,0,13295,0,0,3,Bart
99360,253,2119,0.189.0,65794,736512,3750463,12498620,16051179,63645,3135,0,0,0,0,0,Bart
186162,254,3223,0.189.0,65794,671478,1748413,11308883,15858171,93861,23838,0,0,0,0,0,Bart
119040,255,1725,0.189.0,65794,730044,5856094,7446497,16382717,63270,11057,0,0,0,0,0,Bart
165501,252,3158,0.189.0,65794,1140210,14869222,16597758,16645468,89629,7141,0,11671,0,0,0,Bart
64539,254,1025,247.99.16,80604,131587,630000,8161950,14344418,25330,965,0,2857,0,0,1,Bart
74538,252,852,247.99.16,65794,1067519,6648722,9814728,15791349,40204,1764,178,1954,0,0,0,Bart
79572,251,1370,247.99.16,65794,1008123,8625079,15199723,16777054,44440,1045,0,7755,5,0,0,Bart
62721,247,678,247.99.16,131587,630000,1131520,8622513,15264748,19115,1460,0,2613,0,0,0,Bart
86670,249,808,247.99.16,131843,1918717,7768005,12576128,15067888,46620,2339,0,1087,0,0,0,Bart
153230,256,12867,0.189.0,197124,2864630,6643570,12825477,14805490,77556,7083,0,0,2050,0,728,Homer
143028,254,2427,0.189.0,131587,3232693,10667220,13622253,15989757,75337,5176,0,0,0,0,4286,Homer
127100,255,2405,0.107.173,591882,3473407,4089026,14543597,16029018,36815,7695,26523,0,162,0,1645,Homer
165960,252,838,0.189.0,67127,2108586,10987995,13949165,16120317,65083,6049,0,0,0,0,0,Homer
215250,252,1831,255.0.0,65794,1591792,11188405,14804187,15658475,135730,1730,120,0,0,0,1477,Homer
150900,254,1743,0.189.0,65794,2469098,6318983,11425077,14412267,101259,3346,0,0,0,0,69,Homer
140700,255,1962,0.189.0,65794,146176,6319759,11126509,15593460,87326,2077,0,0,0,0,103,Homer
87542,247,0,0.189.0,862090,3866587,6657680,14215650,16568742,0,173,0,0,160,0,0,Homer
77165,251,1228,189.173.107,65794,1655807,4806544,11448766,16382715,50428,4006,0,0,0,0,2368,Homer
89979,236,822,189.173.107,657674,2706125,7118072,9277855,15922424,44674,3379,0,0,0,0,8480,Homer
195349,256,1293,189.173.107,854020,2052838,9412275,14578936,15724787,107979,8127,0,0,0,0,3102,Homer
304440,250,3851,189.173.107,1131520,1180433,4480136,14672108,16684373,158756,6752,0,0,0,0,5129,Homer
252720,247,2665,189.173.107,65794,1131520,4543634,10923459,16053752,177529,4293,0,0,0,0,18663,Homer
298350,250,3579,189.173.107,131586,196608,1131520,4938132,15790579,182643,10546,3096,0,0,0,20172,Homer
141504,251,2279,0.107.173,65794,1197311,6122130,15922422,16684373,92893,8368,0,0,6,0,2308,Homer
201240,239,2465,189.173.107,65794,1131520,4740752,11186375,16448508,128653,8012,0,0,0,0,7097,Homer
333000,252,3231,189.173.107,65794,1132031,8084941,12566474,16579581,208774,19067,242,536,0,0,5879,Homer
253800,245,3796,189.173.107,65794,1131776,4872077,10923976,16514045,149745,16251,447,0,0,0,7200,Homer
251640,252,2636,0.107.173,65794,1197312,5135758,16054008,16750165,158552,12706,0,0,336,0,4823,Homer
179000,252,2142,0.189.0,65794,277504,3932123,9146012,16120315,120946,10637,0,0,0,0,0,Homer
215787,249,2383,189.173.107,65794,2252795,3885439,9941211,16053752,136257,7057,144,0,0,0,1921,Homer
120900,247,1255,0.189.0,65794,7370636,10269884,13949148,16579837,80854,3331,0,0,0,0,212,Homer
145624,250,1775,0.107.173,131588,5334450,10993887,16185338,16748367,45685,9045,1154,0,78,1056,587,Homer
107712,254,2335,0.189.0,525830,1854456,10457955,15068141,15255430,39281,5635,0,0,184,0,847,Homer
170400,251,1960,0.189.0,65794,2559749,2566211,3101363,13164267,81772,4670,0,0,0,0,28651,Homer
55678,245,674,0.189.0,65794,1861081,8354637,9414067,14081507,28198,127,0,0,0,0,1,Lisa
308220,244,2734,255.0.0,65794,879872,7043500,12175065,16382716,138153,5784,33807,0,0,0,0,Lisa
260762,243,3115,255.0.0,65794,131072,1131520,8953025,15659768,143899,5257,28302,0,0,0,0,Lisa
193752,246,1829,255.0.0,196351,198147,8364797,11978471,15067114,110018,844,4452,0,0,0,0,Lisa
161000,249,1511,255.0.0,65794,392959,1131520,4348560,15396082,74475,5429,2877,0,0,0,8336,Lisa
123120,248,1317,255.0.0,65794,196608,1131520,8495561,16120315,66596,6185,16746,0,0,0,0,Lisa
124800,243,1187,255.0.0,65794,632064,6777456,10275302,16317437,61892,4011,27845,1,0,0,0,Lisa
207360,249,1341,255.0.0,65794,131072,1131520,10795756,16316926,75429,7310,17953,0,0,0,2,Lisa
215460,245,3747,0.189.0,66052,1262848,6447707,8100009,14936546,96747,9212,0,0,1950,0,7788,Lisa
