@relation Simpsons-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R2-6

@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}

@data
247.99.16,184073,10500,0,32838,200,0,0,Bart
247.99.16,170753,9879,356,32076,87,0,0,Bart
247.99.16,149938,10458,0,22018,0,0,0,Bart
247.99.16,110699,5730,447,17160,0,0,0,Bart
255.0.0,105279,10531,3374,0,0,0,3,Bart
247.99.16,82250,4345,0,8445,0,0,4,Bart
0.189.0,95218,3365,0,356,2244,0,0,Bart
247.99.16,98819,7522,100,18546,93,0,0,Bart
0.189.0,59837,4830,0,0,0,0,0,Bart
255.0.0,110376,6399,110,0,522,0,0,Bart
0.66.132,51599,1335,0,169,5178,0,0,Bart
247.99.16,70685,4450,0,13853,126,0,607,Bart
247.99.16,48556,4905,372,5789,14,0,0,Bart
247.99.16,85683,4078,0,12446,45,0,0,Bart
0.189.0,49539,10271,0,0,0,0,0,Bart
247.99.16,104577,1289,0,8423,0,0,0,Bart
247.99.16,64186,3171,0,12368,0,0,0,Bart
247.99.16,123912,11014,310,21259,0,0,0,Bart
247.99.16,71272,1761,219,7828,0,0,0,Bart
247.99.16,64569,4316,144,12314,69,0,0,Bart
255.0.0,54219,8644,392,0,0,0,5,Bart
0.189.0,35000,951,0,4476,15,0,0,Bart
247.99.16,77064,3981,0,5438,0,0,0,Bart
247.99.16,98723,2897,224,10612,0,0,0,Bart
0.189.0,107263,2965,0,0,0,0,0,Bart
0.189.0,60603,4682,0,13295,0,0,3,Bart
0.189.0,63645,3135,0,0,0,0,0,Bart
0.189.0,93861,23838,0,0,0,0,0,Bart
0.189.0,63270,11057,0,0,0,0,0,Bart
0.189.0,89629,7141,0,11671,0,0,0,Bart
247.99.16,25330,965,0,2857,0,0,1,Bart
247.99.16,40204,1764,178,1954,0,0,0,Bart
247.99.16,44440,1045,0,7755,5,0,0,Bart
247.99.16,19115,1460,0,2613,0,0,0,Bart
247.99.16,46620,2339,0,1087,0,0,0,Bart
0.189.0,77556,7083,0,0,2050,0,728,Homer
0.189.0,75337,5176,0,0,0,0,4286,Homer
0.107.173,36815,7695,26523,0,162,0,1645,Homer
0.189.0,65083,6049,0,0,0,0,0,Homer
255.0.0,135730,1730,120,0,0,0,1477,Homer
0.189.0,101259,3346,0,0,0,0,69,Homer
0.189.0,87326,2077,0,0,0,0,103,Homer
0.189.0,0,173,0,0,160,0,0,Homer
189.173.107,50428,4006,0,0,0,0,2368,Homer
189.173.107,44674,3379,0,0,0,0,8480,Homer
189.173.107,107979,8127,0,0,0,0,3102,Homer
189.173.107,158756,6752,0,0,0,0,5129,Homer
189.173.107,177529,4293,0,0,0,0,18663,Homer
189.173.107,182643,10546,3096,0,0,0,20172,Homer
0.107.173,92893,8368,0,0,6,0,2308,Homer
189.173.107,128653,8012,0,0,0,0,7097,Homer
189.173.107,208774,19067,242,536,0,0,5879,Homer
189.173.107,149745,16251,447,0,0,0,7200,Homer
0.107.173,158552,12706,0,0,336,0,4823,Homer
0.189.0,120946,10637,0,0,0,0,0,Homer
189.173.107,136257,7057,144,0,0,0,1921,Homer
0.189.0,80854,3331,0,0,0,0,212,Homer
0.107.173,45685,9045,1154,0,78,1056,587,Homer
0.189.0,39281,5635,0,0,184,0,847,Homer
0.189.0,81772,4670,0,0,0,0,28651,Homer
0.189.0,28198,127,0,0,0,0,1,Lisa
255.0.0,138153,5784,33807,0,0,0,0,Lisa
255.0.0,143899,5257,28302,0,0,0,0,Lisa
255.0.0,110018,844,4452,0,0,0,0,Lisa
255.0.0,74475,5429,2877,0,0,0,8336,Lisa
255.0.0,66596,6185,16746,0,0,0,0,Lisa
255.0.0,61892,4011,27845,1,0,0,0,Lisa
255.0.0,75429,7310,17953,0,0,0,2,Lisa
0.189.0,96747,9212,0,0,1950,0,7788,Lisa
255.0.0,67066,6605,8799,0,0,0,0,Lisa
255.0.0,38026,4977,6951,0,0,0,0,Lisa
255.0.0,60045,1041,2822,0,0,0,0,Lisa
255.0.0,13428,926,3144,0,0,0,0,Lisa
0.156.222,60806,1123,2161,0,0,18926,8,Maggie
0.189.0,49066,2034,0,0,0,0,0,Maggie
0.189.0,27970,3478,0,37,8088,0,0,Maggie
0.156.222,36582,2316,1118,0,0,12229,2,Maggie
0.156.222,92836,7574,2951,0,0,44592,0,Maggie
0.156.222,135145,8852,963,0,0,29875,0,Maggie
0.156.222,140239,9547,1433,0,0,49981,0,Maggie
0.156.222,99976,6355,1389,0,0,28841,0,Maggie
0.189.0,50743,80,0,0,0,0,0,Maggie
0.156.222,36668,14359,0,0,94,6987,0,Maggie
0.156.222,68661,15729,0,0,0,36456,0,Maggie
0.156.222,28669,35,241,0,0,1685,0,Maggie
0.8.132,51406,3577,1082,4,47,0,0,Marge
0.189.0,51966,5260,0,0,17,0,0,Marge
0.8.132,130581,10068,314,0,0,0,0,Marge
0.8.132,227818,5995,973,0,407,0,0,Marge
0.66.132,76904,2335,0,0,73,0,0,Marge
0.8.132,139907,454,932,0,62,0,0,Marge
0.189.0,40580,1365,0,0,96,0,0,Marge
0.8.132,34409,1189,407,0,59,0,0,Marge
0.8.132,33899,2259,594,0,74,0,1,Marge
247.99.16,39465,1121,173,351,0,0,777,Marge
