@relation Simpsons
@attribute qtdPixel numeric
@attribute qtdColors numeric
@attribute qtdPixeisBorda numeric
@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute color1 numeric
@attribute color2 numeric
@attribute color3 numeric
@attribute color4 numeric
@attribute color5 numeric
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}
@data

162022,251,2017,247.99.16,65794,1075450,2795047,15460997,15528437,98436,7076,85,11389,0,0,0,Bart
258015,256,0,0.8.132,131587,1075449,8620953,15397880,16775294,172512,8381,2643,9498,0,0,0,Bart
124800,246,1562,247.99.16,131587,1224688,1459703,14278889,16775039,79591,3625,1761,6855,46,0,1282,Bart
117990,119,1006,247.99.16,65794,1005309,7039852,10008559,16448511,54755,4844,0,11456,0,0,0,Bart
234702,254,3738,0.189.0,65794,1796852,4932665,13676918,15198181,169697,5904,0,0,0,0,0,Bart
183261,226,2002,0.8.132,65794,1467891,15790071,16577663,16727552,127828,5206,0,0,0,0,0,Bart
98690,246,1135,0.8.132,65795,1726201,13194276,14672617,16774016,58796,2398,0,4455,44,2755,1,Bart
242537,250,2983,82.140.24,65794,1007611,11172069,14011517,15724786,146001,6015,0,14346,203,0,0,Bart
181896,256,0,247.99.16,131587,1073148,3487030,10384349,16447423,94182,8171,173,14445,0,0,0,Bart
190773,254,0,0.189.0,131587,2850038,5526871,16380291,16514303,72060,49850,0,9548,70,0,0,Bart
179096,253,0,0.189.0,131587,946425,11886476,12562124,16579837,71287,13337,0,35139,0,0,0,Bart
78975,246,1349,247.99.16,131587,1197056,1219821,15527925,16183169,36198,4175,91,9584,32,0,0,Bart
228690,243,2263,82.140.24,65794,1007100,11172322,15987960,16775038,130611,7116,0,13245,0,0,0,Bart
126040,253,2405,0.8.132,65794,1202173,7829110,15199731,16775039,70653,4634,0,6712,53,0,0,Bart
195288,252,0,0.189.0,131587,393216,1860328,15659766,15985796,132020,7409,6177,9097,0,0,4790,Bart
245376,254,0,0.189.0,1138172,2631706,9877504,14211260,16054011,102250,6787,0,1801,0,0,0,Bart
246132,251,0,0.189.0,945913,1182986,7703979,12306903,16251130,92097,5724,0,42247,0,0,0,Bart
265132,256,0,0.189.0,131587,1197312,1373895,8095385,12578287,193365,8543,0,0,0,0,0,Bart
274224,254,0,0.189.0,131587,1152233,6579564,10532027,15922673,189312,16398,141,5724,0,0,703,Bart
