@relation Simpsons-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R2-6

@attribute corPredominante {247.99.16,0.8.132,189.173.107,0.107.173,255.0.0,0.156.222,0.66.132,149.189.30,0.189.0,82.140.24,8.165.255}
@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}

@data
247.99.16,98436,7076,85,11389,0,0,0,Bart
0.8.132,172512,8381,2643,9498,0,0,0,Bart
247.99.16,79591,3625,1761,6855,46,0,1282,Bart
247.99.16,54755,4844,0,11456,0,0,0,Bart
0.189.0,169697,5904,0,0,0,0,0,Bart
0.8.132,127828,5206,0,0,0,0,0,Bart
0.8.132,58796,2398,0,4455,44,2755,1,Bart
82.140.24,146001,6015,0,14346,203,0,0,Bart
247.99.16,94182,8171,173,14445,0,0,0,Bart
0.189.0,72060,49850,0,9548,70,0,0,Bart
0.189.0,71287,13337,0,35139,0,0,0,Bart
247.99.16,36198,4175,91,9584,32,0,0,Bart
82.140.24,130611,7116,0,13245,0,0,0,Bart
0.8.132,70653,4634,0,6712,53,0,0,Bart
0.189.0,132020,7409,6177,9097,0,0,4790,Bart
0.189.0,102250,6787,0,1801,0,0,0,Bart
0.189.0,92097,5724,0,42247,0,0,0,Bart
0.189.0,193365,8543,0,0,0,0,0,Bart
0.189.0,189312,16398,141,5724,0,0,703,Bart
0.189.0,47190,3472,0,0,0,0,0,Bart
247.99.16,124515,16911,0,19293,12,7832,0,Bart
0.189.0,125125,5196,0,0,0,0,0,Bart
247.99.16,88856,8679,0,15199,0,0,0,Bart
247.99.16,126385,9000,0,13706,0,0,0,Bart
0.156.222,144499,9525,56,4789,27,33127,0,Bart
247.99.16,129413,11196,147,13159,0,0,0,Bart
247.99.16,68876,4628,53,11449,34,0,0,Bart
255.0.0,119361,13536,540,0,0,0,0,Bart
247.99.16,101595,13732,0,22185,0,0,0,Bart
0.189.0,141047,6171,16252,0,11,2429,0,Bart
0.189.0,91226,8029,0,0,17,2292,0,Bart
247.99.16,124476,5513,0,10020,0,0,0,Bart
247.99.16,155740,5989,621,18745,51,0,186,Bart
0.8.132,126920,18355,300,0,0,0,0,Bart
189.173.107,88058,6914,7739,0,0,0,8901,Bart
82.140.24,159238,10484,0,8943,0,0,0,Bart
0.189.0,63036,3412,99,9927,1,0,3,Bart
0.8.132,81524,6317,500,2098,0,0,0,Bart
247.99.16,211480,16946,264,9492,0,0,52,Bart
247.99.16,114883,5483,0,21438,0,0,6,Bart
0.189.0,78116,0,0,6141,0,0,6,Bart
247.99.16,77749,3862,0,5097,0,0,0,Bart
247.99.16,75745,4328,0,10373,21,0,5,Bart
247.99.16,34110,5508,0,5218,0,0,0,Bart
247.99.16,48973,10438,0,6563,0,0,0,Bart
0.8.132,64237,1053,0,0,4,0,0,Bart
0.8.132,93027,3983,112,0,36,0,2,Bart
0.189.0,60824,9103,0,4717,0,0,0,Bart
0.189.0,36184,2453,0,0,140,0,0,Bart
247.99.16,65858,493,0,2577,9,0,0,Bart
0.189.0,44314,715,0,0,0,0,0,Bart
247.99.16,26689,2371,0,4796,0,0,37,Bart
0.189.0,22400,1386,0,0,0,0,3,Bart
0.189.0,26665,950,0,3121,0,0,0,Bart
0.189.0,20462,4351,0,0,153,0,0,Bart
0.189.0,49111,4144,0,0,0,0,0,Bart
247.99.16,79240,8111,347,17443,0,0,0,Bart
82.140.24,41659,1495,0,1832,149,0,0,Bart
0.189.0,73348,1782,156,0,0,0,0,Bart
0.189.0,43966,1392,0,0,0,0,2,Bart
0.189.0,30318,2254,0,0,0,0,0,Bart
247.99.16,38881,1548,0,8691,1,0,0,Bart
0.189.0,80834,2,0,4664,0,0,0,Bart
247.99.16,46845,160,19,110,20,0,214,Bart
247.99.16,60412,1237,0,3861,7,0,0,Bart
0.189.0,19864,9143,0,2184,0,0,0,Bart
247.99.16,165468,9608,406,19912,150,0,0,Bart
247.99.16,29853,1161,0,7916,0,0,0,Bart
247.99.16,33388,2449,95,5203,0,0,0,Bart
247.99.16,49137,616,33,1977,0,0,36,Bart
