@relation Simpsons-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R2-6-weka.filters.unsupervised.attribute.Remove-R1

@attribute qtdBranco numeric
@attribute qtdPreto numeric
@attribute qtdVermelho numeric
@attribute qtdLaranja numeric
@attribute qtdAzulEscuro numeric
@attribute qtdAzulClaro numeric
@attribute qtdMarromClaro numeric
@attribute class {Bart,Lisa,Marge,Maggie,Homer}

@data
98436,7076,85,11389,0,0,0,Bart
172512,8381,2643,9498,0,0,0,Bart
79591,3625,1761,6855,46,0,1282,Bart
54755,4844,0,11456,0,0,0,Bart
169697,5904,0,0,0,0,0,Bart
127828,5206,0,0,0,0,0,Bart
58796,2398,0,4455,44,2755,1,Bart
146001,6015,0,14346,203,0,0,Bart
94182,8171,173,14445,0,0,0,Bart
72060,49850,0,9548,70,0,0,Bart
71287,13337,0,35139,0,0,0,Bart
36198,4175,91,9584,32,0,0,Bart
130611,7116,0,13245,0,0,0,Bart
70653,4634,0,6712,53,0,0,Bart
132020,7409,6177,9097,0,0,4790,Bart
102250,6787,0,1801,0,0,0,Bart
92097,5724,0,42247,0,0,0,Bart
193365,8543,0,0,0,0,0,Bart
189312,16398,141,5724,0,0,703,Bart
47190,3472,0,0,0,0,0,Bart
124515,16911,0,19293,12,7832,0,Bart
125125,5196,0,0,0,0,0,Bart
88856,8679,0,15199,0,0,0,Bart
126385,9000,0,13706,0,0,0,Bart
144499,9525,56,4789,27,33127,0,Bart
129413,11196,147,13159,0,0,0,Bart
68876,4628,53,11449,34,0,0,Bart
119361,13536,540,0,0,0,0,Bart
101595,13732,0,22185,0,0,0,Bart
141047,6171,16252,0,11,2429,0,Bart
91226,8029,0,0,17,2292,0,Bart
124476,5513,0,10020,0,0,0,Bart
155740,5989,621,18745,51,0,186,Bart
126920,18355,300,0,0,0,0,Bart
88058,6914,7739,0,0,0,8901,Bart
159238,10484,0,8943,0,0,0,Bart
63036,3412,99,9927,1,0,3,Bart
81524,6317,500,2098,0,0,0,Bart
211480,16946,264,9492,0,0,52,Bart
114883,5483,0,21438,0,0,6,Bart
78116,0,0,6141,0,0,6,Bart
77749,3862,0,5097,0,0,0,Bart
75745,4328,0,10373,21,0,5,Bart
34110,5508,0,5218,0,0,0,Bart
48973,10438,0,6563,0,0,0,Bart
64237,1053,0,0,4,0,0,Bart
93027,3983,112,0,36,0,2,Bart
60824,9103,0,4717,0,0,0,Bart
36184,2453,0,0,140,0,0,Bart
65858,493,0,2577,9,0,0,Bart
44314,715,0,0,0,0,0,Bart
26689,2371,0,4796,0,0,37,Bart
22400,1386,0,0,0,0,3,Bart
26665,950,0,3121,0,0,0,Bart
20462,4351,0,0,153,0,0,Bart
49111,4144,0,0,0,0,0,Bart
79240,8111,347,17443,0,0,0,Bart
41659,1495,0,1832,149,0,0,Bart
73348,1782,156,0,0,0,0,Bart
43966,1392,0,0,0,0,2,Bart
30318,2254,0,0,0,0,0,Bart
38881,1548,0,8691,1,0,0,Bart
80834,2,0,4664,0,0,0,Bart
46845,160,19,110,20,0,214,Bart
60412,1237,0,3861,7,0,0,Bart
19864,9143,0,2184,0,0,0,Bart
165468,9608,406,19912,150,0,0,Bart
29853,1161,0,7916,0,0,0,Bart
33388,2449,95,5203,0,0,0,Bart
49137,616,33,1977,0,0,36,Bart
81785,3056,0,12017,0,0,0,Bart
47921,3623,0,0,0,3941,0,Bart
20081,1085,63,1451,0,0,3225,Bart
16576,6026,104,4717,0,0,0,Bart
34717,0,314,0,0,0,0,Bart
40273,1959,3621,3225,0,0,0,Bart
22434,1173,0,3606,1,0,217,Bart
79437,270,0,0,0,0,0,Bart
66009,8594,153,3538,216,0,1309,Homer
116616,4992,0,0,0,0,9808,Homer
128743,6547,0,0,0,0,7435,Homer
65284,2083,0,0,34,0,963,Homer
